repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
156,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.842400074005127
157,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,4.160943269729614
158,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.2595977783203125
159,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.832876682281494
160,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.847501039505005
161,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.469536542892456
162,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8409440517425537
163,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.846730947494507
164,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8531343936920166
165,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.4263601303100586
166,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8274385929107666
167,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8440113067626953
168,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.84952449798584
169,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.627704620361328
170,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8588852882385254
171,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8903448581695557
172,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.928603172302246
173,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.8842930793762207
174,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.969682216644287
175,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,5.036294460296631
176,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.864611864089966
177,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,4.198184967041016
178,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.8716535568237305
179,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,3.8997080326080322
180,1e-10,8,8,3,3,4,4,3,2,3,8,8,4,5,2.9177565574645996
