repetition,tolerance,buffer_capacity_1,buffer_capacity_2,lambda_1_1,lambda_1_2,lambda_2,mu_1,mu_2,num_of_servers_1,num_of_servers_2,system_capacity_1,system_capacity_2,threshold_1,threshold_2,time_taken
137,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.952600002288818
138,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.936444997787476
139,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.94617772102356
140,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.948538541793823
141,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.950372695922852
142,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956713676452637
143,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.954805135726929
144,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95259690284729
145,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.963293790817261
146,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.973569393157959
147,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.961524963378906
148,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.961597919464111
149,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.940519571304321
150,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9470977783203125
151,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95924186706543
152,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.942920446395874
153,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.937154293060303
154,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9700233936309814
155,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.9554243087768555
156,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.95609974861145
157,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.953488111495972
158,1e-10,10,10,2,2,5,3,2,3,4,7,15,7,10,6.956464767456055
